Before,After,Value
1589810486.992091656,1589810487.102209330,100
1589810492.102837086,1589810492.199468851,0
1589810497.199719667,1589810497.296252012,100
1589810502.297244310,1589810502.395022631,0
1589810507.395238876,1589810507.488281965,100
1589810512.488568068,1589810512.587581635,0
1589810517.587889433,1589810517.694856644,100
1589810522.694957495,1589810522.795102358,0
1589810527.795744658,1589810527.897209644,100
1589810532.897568941,1589810532.998686790,0
1589810537.999363661,1589810538.094975471,100
1589810543.095918179,1589810543.191578865,0
1589810548.191831112,1589810548.296275139,100
1589810553.296539068,1589810553.403046846,0
1589810558.403073072,1589810558.494922638,100
1589810563.495220900,1589810563.593371153,0
1589810568.593928099,1589810568.692638636,100
1589810573.693561077,1589810573.799871206,0
1589810578.800412416,1589810578.893600464,100
1589810583.894422054,1589810583.989956856,0
1589810588.990603924,1589810589.084630728,100
1589810594.084793329,1589810594.181367636,0
1589810599.182222843,1589810599.282858610,100
1589810604.283145666,1589810604.386240959,0
1589810609.386381626,1589810609.487277269,100
1589810614.487499475,1589810614.586988211,0
1589810619.587471008,1589810619.698818922,100
1589810624.699316740,1589810624.801854134,0
1589810629.802821636,1589810629.904848576,100
1589810634.905304670,1589810635.004001856,0
1589810640.004289627,1589810640.108059645,100
1589810645.108983755,1589810645.202573776,0
1589810650.202887535,1589810650.294763327,100
1589810655.295431852,1589810655.393769979,0
1589810660.393885851,1589810660.500106096,100
1589810665.500686407,1589810665.608870029,0
1589810670.609768629,1589810670.704472780,100
1589810675.705384970,1589810675.808109999,0
1589810680.808998108,1589810680.906674147,100
1589810685.906761408,1589810686.003066778,0
1589810691.003127813,1589810691.115620136,100
1589810696.116062880,1589810696.206731796,0
1589810701.207480431,1589810701.310478687,100
1589810706.311192513,1589810706.440834761,0
1589810711.440955400,1589810711.534090042,100
1589810716.534991264,1589810716.641777992,0
1589810721.642012596,1589810721.741667032,100
1589810726.742326021,1589810726.841020346,0
1589810731.841265202,1589810731.942343473,100
1589810736.943002224,1589810737.038059711,0
1589810742.038790464,1589810742.146132469,100
1589810747.146902084,1589810747.251941919,0
1589810752.252071381,1589810752.352902889,100
1589810757.353888988,1589810757.444897890,0
1589810762.445352793,1589810762.548742056,100
1589810767.549654245,1589810767.652825832,0
1589810772.653748512,1589810772.753848076,100
1589810777.754585028,1589810777.854492426,0
1589810782.854819298,1589810782.948656559,100
1589810787.949352264,1589810788.061619997,0
1589810793.062561750,1589810793.164785862,100
1589810798.164830208,1589810798.264547348,0
1589810803.264975548,1589810803.368081808,100
1589810808.368657827,1589810808.471455336,0
1589810813.471859694,1589810813.578929186,100
1589810818.579830885,1589810818.680225372,0
