Before,After,Value
1589794479.039183617,1589794479.337460756,1
1589794499.338486671,1589794499.662211418,4
1589794519.662821531,1589794520.037029028,2
1589794540.037588596,1589794540.446783066,0
1589794560.447144508,1589794560.724254131,4
1589794580.725073576,1589794581.620225430,2
1589794601.620790720,1589794602.226110935,5
1589794622.226300955,1589794622.596631050,4
1589794642.596725941,1589794643.153730392,5
1589794663.154396534,1589794663.650372505,5
1589794683.650777817,1589794684.247828960,2
1589794704.248145103,1589794704.346293926,0
1589794724.346920967,1589794724.449927092,2
1589794744.450689554,1589794744.544563293,4
1589794764.545039177,1589794764.645441532,0
1589794784.646090984,1589794784.747479200,5
1589794804.748241901,1589794804.851016045,3
1589794824.851660490,1589794824.947988749,1
1589794844.948611259,1589794845.045353651,2
1589794865.045522690,1589794865.148625851,4
1589794885.148872137,1589794885.248852253,3
1589794905.249265671,1589794905.349776268,2
1589794925.349791288,1589794925.451830864,2
1589794945.451987982,1589794945.549309969,1
1589794965.550151587,1589794965.646663904,3
1589794985.647451878,1589794985.750006437,0
1589795005.750320196,1589795005.851348162,4
1589795025.851350784,1589795025.945416927,0
1589795045.945845842,1589795046.045845747,1
1589795066.045969009,1589795066.144698381,0
1589795086.145110846,1589795086.249109507,4
1589795106.249199390,1589795106.350733519,1
1589795126.350878954,1589795126.451371670,1
1589795146.451833248,1589795146.553598166,1
1589795166.553894043,1589795166.658259153,0
1589795186.659039021,1589795186.761491060,2
1589795206.761814833,1589795206.859694481,5
1589795226.860280275,1589795226.958639622,3
1589795246.959260702,1589795247.064884901,0
1589795267.065253019,1589795267.166309118,1
1589795287.167104959,1589795287.269412279,2
1589795307.270236254,1589795307.364491463,0
1589795327.364608526,1589795327.484821081,4
1589795347.484905481,1589795347.584394217,3
1589795367.585140705,1589795367.688577890,0
1589795387.688803673,1589795387.791312933,3
1589795407.791524172,1589795407.885149002,0
1589795427.885983229,1589795427.982778311,0
1589795447.983496428,1589795448.084233761,0
1589795468.084679604,1589795468.178465128,3
1589795488.178655386,1589795488.280302048,5
1589795508.280467510,1589795508.384566307,2
1589795528.385456800,1589795528.492712498,1
1589795548.493380785,1589795548.588257790,5
1589795568.588333368,1589795568.682744980,5
1589795588.683057547,1589795588.784613132,3
1589795608.785311222,1589795608.885219336,0
1589795628.885329247,1589795628.992696285,2
1589795648.992869854,1589795649.091575623,0
1589795669.092351913,1589795669.193754911,2
1589795689.193889141,1589795689.292794943,4
1589795709.293133736,1589795709.393607616,4
1589795729.393668175,1589795729.487667084,4
1589795749.488228083,1589795749.595150948,3
1589795769.595807791,1589795769.696873903,2
1589795789.697270870,1589795789.791955948,2
1589795809.792044401,1589795809.891371250,1
1589795829.891482830,1589795830.003431082,4
1589795850.004416227,1589795850.107964277,4
1589795870.108188152,1589795870.213057041,1
1589795890.214053154,1589795890.320953608,0
1589795910.321004391,1589795910.421268225,1
1589795930.421303988,1589795930.524735689,3
1589795950.525131702,1589795950.621114969,4
1589795970.621831656,1589795970.720317841,5
1589795990.721229792,1589795990.825867414,5
1589796010.825978518,1589796010.932486296,2
1589796030.932505608,1589796031.035767078,5
1589796051.036367893,1589796051.134952545,0
1589796071.135742188,1589796071.232353687,0
1589796091.232553244,1589796091.334582329,0
1589796111.335482121,1589796111.436423063,2
1589796131.437309742,1589796131.538251162,3
1589796151.538576841,1589796151.641229153,1
1589796171.642966747,1589796171.742096424,0
1589796191.742357492,1589796191.844021559,2
1589796211.845028639,1589796211.947932482,0
1589796231.948061705,1589796232.060585022,4
1589796252.061362743,1589796252.153818607,4
1589796272.154814720,1589796272.260992765,4
1589796292.261874199,1589796292.361737728,4
1589796312.362443686,1589796312.464548349,0
1589796332.464887857,1589796332.561908960,3
1589796352.561937571,1589796352.664069176,4
1589796372.664330482,1589796372.755867481,3
1589796392.756724596,1589796392.858829737,2
1589796412.859372139,1589796412.963396072,2
1589796432.963659525,1589796433.113358498,0
1589796453.113847017,1589796453.214160919,3
1589796473.214621067,1589796473.320293188,0
1589796493.320427418,1589796493.411121845,5
1589796513.411124945,1589796513.503035307,4
1589796533.503530025,1589796533.604857445,0
1589796553.604899883,1589796553.709860563,1
1589796573.710135221,1589796573.820637703,5
1589796593.821478128,1589796593.924606562,0
1589796613.925521374,1589796614.027575254,0
1589796634.028266907,1589796634.132143497,0
1589796654.132539511,1589796654.229416609,2
1589796674.229973316,1589796674.322533846,5
1589796694.322872400,1589796694.421847582,3
1589796714.422556162,1589796714.525556564,4
1589796734.526578188,1589796734.625118494,1
1589796754.625714779,1589796754.725507498,4
1589796774.726449490,1589796774.824897051,1
1589796794.825656176,1589796794.932323933,2
1589796814.932968855,1589796815.037031412,2
1589796835.037403584,1589796835.144412994,3
1589796855.144694805,1589796855.237484694,2
1589796875.237496138,1589796875.344994783,0
1589796895.345188618,1589796895.441184282,3
1589796915.441652060,1589796915.553787947,4
1589796935.554452896,1589796935.651360512,5
1589796955.652054071,1589796955.751888752,1
1589796975.751987696,1589796975.854870081,2
1589796995.854884624,1589796995.953976393,4
1589797015.954294682,1589797016.061294556,0
1589797036.062123060,1589797036.165128946,1
1589797056.165563583,1589797056.264824390,4
1589797076.264968634,1589797076.367900848,3
1589797096.368237257,1589797096.472322226,0
1589797116.472709179,1589797116.568180561,0
