LoggerBefore,DeviceTime,Light,Setpoint,Intensity,LoggerAfter
1589810482.037396908,1589803282.456845045,0,0,0,1589810482.037396908
1589810482.084862471,1589803282.466428041,0,0,0,1589810482.084862471
1589810482.085867167,1589803282.474958897,0,0,0,1589810482.085867167
1589810482.085867167,1589803282.483084917,0,0,0,1589810482.085867167
1589810482.085867167,1589803282.491115093,0,0,0,1589810482.085867167
1589810482.085867167,1589803282.499088049,0,0,0,1589810482.085867167
1589810482.085867167,1589803282.507018089,0,0,0,1589810482.085867167
1589810482.085867167,1589803282.514921904,0,0,0,1589810482.085867167
1589810482.085867167,1589803282.523035049,0,0,0,1589810482.085867167
1589810482.085867167,1589803282.531099081,0,0,0,1589810482.085867167
1589810482.121411085,1589803282.540276051,0,0,0,1589810482.121411085
1589810482.121411085,1589803282.548608065,0,0,0,1589810482.121411085
1589810482.121411085,1589803282.557545900,0,0,0,1589810482.121411085
1589810482.121411085,1589803282.565782070,0,0,0,1589810482.121411085
1589810482.121411085,1589803282.574317932,0,0,0,1589810482.121411085
1589810482.161342382,1589803282.584084988,0,0,0,1589810482.161342382
1589810482.161342382,1589803282.592571020,0,0,0,1589810482.161342382
1589810482.161342382,1589803282.600630999,0,0,0,1589810482.161342382
1589810482.161342382,1589803282.608660936,0,0,0,1589810482.161342382
1589810482.161342382,1589803282.616684914,0,0,0,1589810482.161342382
1589810482.161342382,1589803282.624690056,0,0,0,1589810482.161342382
1589810482.237935781,1589803282.634346008,0,0,0,1589810482.237935781
1589810482.237935781,1589803282.642833948,0,0,0,1589810482.237935781
1589810482.237935781,1589803282.651015997,0,0,0,1589810482.237935781
1589810482.237935781,1589803282.659271002,0,0,0,1589810482.237935781
1589810482.237935781,1589803282.667277098,0,0,0,1589810482.237935781
1589810482.237935781,1589803282.675285101,0,0,0,1589810482.237935781
1589810482.237935781,1589803282.685806990,0,0,0,1589810482.237935781
1589810482.237935781,1589803282.694118977,0,0,0,1589810482.237935781
1589810482.237935781,1589803282.702117920,0,0,0,1589810482.237935781
1589810482.242029667,1589803282.710092068,0,0,0,1589810482.242029667
1589810482.242029667,1589803282.718118906,0,0,0,1589810482.242029667
1589810482.284024239,1589803282.726116896,0,0,0,1589810482.284024239
1589810482.284024239,1589803282.736119032,0,0,0,1589810482.284024239
1589810482.284024239,1589803282.744327068,0,0,0,1589810482.284024239
1589810482.284024239,1589803282.752324104,0,0,0,1589810482.284024239
1589810482.284024239,1589803282.760263920,0,0,0,1589810482.284024239
1589810482.284912348,1589803282.768265963,0,0,0,1589810482.284912348
1589810482.365594625,1589803282.777771950,0,0,0,1589810482.365594625
1589810482.365594625,1589803282.786840916,0,0,0,1589810482.365594625
1589810482.365594625,1589803282.794928074,0,0,0,1589810482.365594625
1589810482.365594625,1589803282.802866936,0,0,0,1589810482.365594625
1589810482.365594625,1589803282.810899973,0,0,0,1589810482.365594625
1589810482.412166834,1589803282.820367098,0,0,0,1589810482.412166834
1589810482.412166834,1589803282.828980923,0,0,0,1589810482.412166834
1589810482.412166834,1589803282.837121010,0,0,0,1589810482.412166834
1589810482.412166834,1589803282.845087051,0,0,0,1589810482.412166834
1589810482.412166834,1589803282.852981091,0,0,0,1589810482.412166834
1589810482.412166834,1589803282.860965014,0,0,0,1589810482.412166834
1589810482.412166834,1589803282.870893002,0,0,0,1589810482.412166834
1589810482.412166834,1589803282.879235029,0,0,0,1589810482.412166834
1589810482.412166834,1589803282.887804031,0,0,0,1589810482.412166834
1589810482.448334694,1589803282.895930052,0,0,0,1589810482.448334694
1589810482.449310541,1589803282.904093027,0,0,0,1589810482.449310541
1589810482.488569260,1589803282.913352966,0,0,0,1589810482.488569260
1589810482.488569260,1589803282.921865940,0,0,0,1589810482.488569260
1589810482.488569260,1589803282.929955006,0,0,0,1589810482.488569260
1589810482.488569260,1589803282.938127041,0,0,0,1589810482.488569260
1589810482.488569260,1589803282.946085930,0,0,0,1589810482.488569260
1589810482.551987886,1589803282.954093933,0,0,0,1589810482.551987886
1589810482.551987886,1589803282.963942051,0,0,0,1589810482.551987886
1589810482.551987886,1589803282.972090006,0,0,0,1589810482.551987886
1589810482.552989006,1589803282.979985952,0,0,0,1589810482.552989006
1589810482.552989006,1589803282.988444090,0,0,0,1589810482.552989006
1589810482.552989006,1589803282.996630907,0,0,0,1589810482.552989006
1589810482.552989006,1589803283.006182909,0,0,0,1589810482.552989006
