Before,After,Value
1589824709.250898123,1589824709.923135281,100
1589824714.923139334,1589824715.801397085,0
1589824720.801763296,1589824721.406316519,100
1589824726.406368256,1589824727.129962921,0
1589824732.130576372,1589824732.836418390,100
1589824737.836744547,1589824738.180293083,0
1589824743.180417776,1589824743.680625677,100
1589824748.680872679,1589824749.372591972,0
1589824754.373034000,1589824754.938717127,100
1589824759.938846350,1589824760.180583239,0
1589824765.181549072,1589824765.985343456,100
1589824770.986242294,1589824771.412259340,0
1589824776.412750959,1589824776.933707714,100
1589824781.934707880,1589824782.530506849,0
1589824787.530765295,1589824787.865420341,100
1589824792.865550518,1589824793.274250031,0
1589824798.274726391,1589824798.962753534,100
1589824803.963392019,1589824804.301544666,0
1589824809.302275658,1589824809.981652260,100
1589824814.982323647,1589824815.387673616,0
1589824820.388204098,1589824820.820680857,100
1589824825.821048975,1589824826.053632736,0
1589824831.053706408,1589824831.704738379,100
1589824836.704863310,1589824836.929686546,0
1589824841.929938316,1589824842.502185822,100
1589824847.502576590,1589824847.765521765,0
1589824852.766201973,1589824853.316279411,100
1589824858.316622496,1589824858.777552843,0
1589824863.778056145,1589824864.369101286,100
1589824869.369970083,1589824870.051820278,0
1589824875.052515030,1589824875.809129953,100
1589824880.810188293,1589824881.258823395,0
1589824886.259288788,1589824886.769181967,100
1589824891.769961119,1589824892.483923912,0
1589824897.484509706,1589824898.038288355,100
1589824903.038727760,1589824903.494799614,0
1589824908.495039463,1589824909.142717123,100
1589824914.143670797,1589824914.492132664,0
1589824919.492341518,1589824919.973541021,100
1589824924.973722219,1589824925.079168558,0
1589824930.079828739,1589824930.181891680,100
1589824935.182064533,1589824935.287035942,0
1589824940.287877083,1589824940.382270098,100
1589824945.383049250,1589824945.471049786,0
1589824950.471857309,1589824950.569864750,100
1589824955.570799828,1589824955.669681311,0
1589824960.670113802,1589824960.773114681,100
1589824965.773504019,1589824965.870534658,0
1589824970.870940208,1589824970.969942093,100
1589824975.970176697,1589824976.084296703,0
1589824981.085094452,1589824981.185424805,100
1589824986.185746193,1589824986.289747477,0
1589824991.289894104,1589824991.373041868,100
1589824996.374036312,1589824996.472036123,0
1589825001.472691059,1589825001.564484358,100
1589825006.564572334,1589825006.662776470,0
1589825011.662899971,1589825011.760194540,100
1589825016.760737419,1589825016.856737137,0
1589825021.857547045,1589825021.953447104,100
1589825026.953819036,1589825027.052951336,0
1589825032.053538561,1589825032.150962591,100
1589825037.151649237,1589825037.249549866,0
1589825042.250434875,1589825042.347313643,100
1589825047.348017693,1589825047.447091103,0
1589825052.447934389,1589825052.544934750,100
1589825057.545646429,1589825057.641638756,0
1589825062.642494678,1589825062.735153437,100
1589825067.735646486,1589825067.829952955,0
1589825072.830857992,1589825072.928010225,100
1589825077.928240538,1589825078.027585268,0
1589825083.028445721,1589825083.129445314,100
1589825088.130064964,1589825088.228066206,0
1589825093.228641748,1589825093.335897923,100
1589825098.336434126,1589825098.437408447,0
1589825103.437669516,1589825103.537966490,100
1589825108.538926840,1589825108.641189337,0
1589825113.641413212,1589825113.751447916,100
1589825118.751487970,1589825118.856585503,0
1589825123.856750250,1589825123.959752560,100
1589825128.960737944,1589825129.067215919,0
1589825134.067908287,1589825134.170996428,100
1589825139.171161175,1589825139.274236917,0
1589825144.275197268,1589825144.374044180,100
1589825149.374168158,1589825149.473168850,0
1589825154.473819733,1589825154.568805456,100
1589825159.569439173,1589825159.672513247,0
1589825164.672719002,1589825164.769239902,100
1589825169.769272566,1589825169.867296457,0
1589825174.867727757,1589825174.968850136,100
1589825179.969497204,1589825180.064645290,0
1589825185.065059662,1589825185.164585590,100
1589825190.164716244,1589825190.263774157,0
1589825195.263843536,1589825195.361479521,100
1589825200.361588001,1589825200.464922905,0
1589825205.465242624,1589825205.563694954,100
1589825210.564091921,1589825210.658402920,0
1589825215.658466101,1589825215.763277292,100
1589825220.763589144,1589825220.866812944,0
1589825225.867314339,1589825225.965048313,100
1589825230.965873957,1589825231.049823046,0
1589825236.049997568,1589825236.144997597,100
1589825241.146476030,1589825241.240628242,0
1589825246.240743399,1589825246.337597370,100
1589825251.338346481,1589825251.429717779,0
1589825256.429752350,1589825256.528327703,100
1589825261.528947115,1589825261.638947010,0
1589825266.639633417,1589825266.739691257,100
1589825271.740267277,1589825271.834490538,0
1589825276.835935593,1589825276.925019979,100
1589825281.925221443,1589825282.044220924,0
1589825287.044579983,1589825287.141580343,100
1589825292.141788006,1589825292.242853880,0
1589825297.243003368,1589825297.342005253,100
1589825302.342701197,1589825302.427921772,0
1589825307.428238153,1589825307.527634621,100
1589825312.528519869,1589825312.624472618,0
1589825317.625381708,1589825317.724723339,100
1589825322.725364208,1589825322.848494053,0
1589825327.848657131,1589825327.944630861,100
1589825332.945513964,1589825333.043581486,0
1589825338.043987751,1589825338.142119884,100
1589825343.142598867,1589825343.246758223,0
1589825348.247723341,1589825348.341800690,100
1589825353.342024803,1589825353.430049419,0
1589825358.430217028,1589825358.526688814,100
1589825363.527075768,1589825363.626153231,0
1589825368.626732826,1589825368.726397753,100
1589825373.726724863,1589825373.820602179,0
1589825378.821614504,1589825378.916834831,100
1589825383.917169094,1589825384.022633791,0
1589825389.022669077,1589825389.125866413,100
1589825394.126064539,1589825394.230029821,0
1589825399.230424881,1589825399.329882622,100
1589825404.330406427,1589825404.431406260,0
1589825409.432230711,1589825409.524909258,100
1589825414.525040150,1589825414.641038895,0
1589825419.641550779,1589825419.734050989,100
1589825424.734430552,1589825424.839429379,0
1589825429.840104342,1589825429.936104298,100
1589825434.936293840,1589825435.029261351,0
1589825440.029361010,1589825440.144828558,100
1589825445.145356178,1589825445.252597570,0
1589825450.252932072,1589825450.360869884,100
1589825455.361131430,1589825455.462530375,0
1589825460.462980032,1589825460.569039583,100
1589825465.569522619,1589825465.670920134,0
1589825470.671847820,1589825470.768918514,100
1589825475.769622803,1589825475.871501207,0
1589825480.871805668,1589825480.967988253,100
1589825485.968791723,1589825486.063350439,0
1589825491.064363718,1589825491.160236835,100
1589825496.160772324,1589825496.249772310,0
1589825501.250054121,1589825501.339746475,100
1589825506.341008186,1589825506.448007345,0
1589825511.448567629,1589825511.545957327,100
1589825516.546222448,1589825516.666381121,0
1589825521.666949272,1589825521.768316746,100
1589825526.768943548,1589825526.877994776,0
1589825531.878785372,1589825531.976994038,100
1589825536.978119612,1589825537.076350927,0
1589825542.076985121,1589825542.174383640,100
1589825547.175068378,1589825547.275069237,0
1589825552.275686026,1589825552.380495310,100
1589825557.381451845,1589825557.476244211,0
1589825562.476877928,1589825562.577053547,100
1589825567.577473164,1589825567.679930449,0
1589825572.680470467,1589825572.779573917,100
1589825577.780007601,1589825577.883006811,0
1589825582.883394718,1589825582.980370283,100
1589825587.980934620,1589825588.074245691,0
1589825593.074442387,1589825593.167070866,100
1589825598.167452574,1589825598.259363174,0
1589825603.259856462,1589825603.351915121,100
1589825608.352537870,1589825608.449628830,0
1589825613.450405121,1589825613.552125692,100
1589825618.553006887,1589825618.651916742,0
1589825623.652583599,1589825623.762842417,100
1589825628.764819860,1589825628.862512589,0
1589825633.862935781,1589825633.950995922,100
1589825638.951807976,1589825639.050934315,0
1589825644.050999880,1589825644.134765625,100
1589825649.135648727,1589825649.236647129,0
1589825654.237391949,1589825654.333094597,100
1589825659.333612919,1589825659.424588203,0
1589825664.424792528,1589825664.528833389,100
1589825669.528997183,1589825669.633997679,0
1589825674.634786367,1589825674.729634762,100
1589825679.730017900,1589825679.830413103,0
1589825684.830574512,1589825684.928570032,100
1589825689.929090500,1589825690.035261869,0
1589825695.035491943,1589825695.131546021,100
1589825700.131691933,1589825700.228667021,0
1589825705.229158878,1589825705.321160078,100
1589825710.321721792,1589825710.419722080,0
1589825715.420085907,1589825715.533070564,100
1589825720.533343792,1589825720.634565830,0
1589825725.635531425,1589825725.726475000,100
1589825730.727405310,1589825730.823646784,0
1589825735.823699951,1589825735.906704426,100
1589825740.907608032,1589825741.003148317,0
1589825746.003279209,1589825746.096279621,100
1589825751.097179174,1589825751.192309141,0
1589825756.192774057,1589825756.309389591,100
1589825761.310200930,1589825761.408197165,0
1589825766.408429861,1589825766.512428999,100
1589825771.512517929,1589825771.614683151,0
1589825776.615253687,1589825776.714375257,100
1589825781.715223312,1589825781.813367128,0
1589825786.813672543,1589825786.903496265,100
1589825791.903592110,1589825792.006146193,0
1589825797.006807566,1589825797.108331680,100
1589825802.109062195,1589825802.212546349,0
1589825807.213091612,1589825807.315344810,100
1589825812.316147089,1589825812.413290739,0
1589825817.413475513,1589825817.516383886,100
1589825822.517263889,1589825822.612392664,0
1589825827.612728357,1589825827.710511684,100
1589825832.711400509,1589825832.804402828,0
1589825837.804469585,1589825837.907515287,100
1589825842.908181190,1589825843.020161390,0
1589825848.021109104,1589825848.123109818,100
1589825853.123793602,1589825853.224794865,0
1589825858.225521564,1589825858.326050282,100
1589825863.326567650,1589825863.428080797,0
1589825868.429004192,1589825868.522007227,100
1589825873.522378683,1589825873.626379251,0
1589825878.627378941,1589825878.731379032,100
1589825883.731379271,1589825883.831378698,0
1589825888.831888437,1589825888.917886972,100
1589825893.917887449,1589825894.033886433,0
1589825899.034209490,1589825899.117185831,100
1589825904.117525578,1589825904.219493628,0
1589825909.219730616,1589825909.322799444,100
1589825914.323180437,1589825914.424166441,0
1589825919.425157547,1589825919.557158947,100
1589825924.557800293,1589825924.652801514,0
1589825929.653800726,1589825929.752800465,100
1589825934.753033161,1589825934.849062443,0
1589825939.849265814,1589825939.957127333,100
1589825944.957948208,1589825945.064975023,0
1589825950.065948009,1589825950.149947643,100
1589825955.149966240,1589825955.244966984,0
1589825960.244967461,1589825960.344966888,100
1589825965.345601320,1589825965.444601536,0
1589825970.444602251,1589825970.538971663,100
1589825975.539509773,1589825975.654510260,0
1589825980.654561758,1589825980.760561228,100
1589825985.761559725,1589825985.858560085,0
1589825990.858812094,1589825990.956901073,100
1589825995.957158566,1589825996.048030615,0
1589826001.048703671,1589826001.134653091,100
1589826006.135653257,1589826006.229651928,0
1589826011.229652643,1589826011.322652817,100
1589826016.322653532,1589826016.423653126,0
1589826021.423653841,1589826021.527653217,100
1589826026.528653383,1589826026.627651930,0
1589826031.627653122,1589826031.735652208,100
1589826036.735681772,1589826036.823849916,0
1589826041.824641228,1589826041.926832914,100
1589826046.926882267,1589826047.027165174,0
1589826052.027839899,1589826052.130452633,100
1589826057.131126881,1589826057.229679585,0
1589826062.230003595,1589826062.336004496,100
1589826067.337004662,1589826067.441004038,0
1589826072.442002058,1589826072.553000689,100
1589826077.554001331,1589826077.660002232,0
1589826082.660590649,1589826082.764578819,100
1589826087.765578032,1589826087.869602919,0
1589826092.869607449,1589826092.965578556,100
1589826097.965606689,1589826098.070609808,0
1589826103.071608305,1589826103.156607151,100
1589826108.156983614,1589826108.250954151,0
1589826113.250956297,1589826113.351982832,100
1589826118.352764368,1589826118.451765537,0
1589826123.451967239,1589826123.555968761,100
1589826128.556669474,1589826128.658670664,0
1589826133.659370661,1589826133.744295120,100
1589826138.744607210,1589826138.842606306,0
1589826143.842606783,1589826143.945607424,100
1589826148.945607424,1589826149.040606976,0
1589826154.040606976,1589826154.138607264,100
1589826159.138607502,1589826159.238607168,0
1589826164.239115238,1589826164.342116117,100
1589826169.342286348,1589826169.441745520,0
1589826174.442389488,1589826174.548419237,100
1589826179.549045563,1589826179.653293133,0
1589826184.654112101,1589826184.750112057,100
1589826189.750257969,1589826189.854250908,0
1589826194.855074406,1589826194.945478916,100
1589826199.946346521,1589826200.042346478,0
1589826205.042827845,1589826205.129904032,100
1589826210.130436182,1589826210.226436615,0
1589826215.227373362,1589826215.321371317,100
1589826220.321881056,1589826220.411882401,0
1589826225.412882805,1589826225.513881922,100
1589826230.513882399,1589826230.628881454,0
1589826235.628881454,1589826235.729882717,100
1589826240.730880737,1589826240.833883047,0
1589826245.834391832,1589826245.936390638,100
1589826250.936476946,1589826251.041459560,0
1589826256.041995049,1589826256.148183584,100
1589826261.148340940,1589826261.253701687,0
1589826266.254104137,1589826266.352962732,100
1589826271.353886127,1589826271.453907251,0
1589826276.455666780,1589826276.571665525,100
1589826281.572117329,1589826281.662445784,0
1589826286.663378239,1589826286.775349617,100
1589826291.775480032,1589826291.883479595,0
1589826296.883814812,1589826296.983246326,100
1589826301.984148502,1589826302.086148262,0
1589826307.086148500,1589826307.199146986,100
1589826312.200146675,1589826312.301149130,0
1589826317.302148581,1589826317.406147957,100
1589826322.406147957,1589826322.505146980,0
1589826327.506079912,1589826327.605948925,100
1589826332.606816292,1589826332.710866213,0
1589826337.711797476,1589826337.802754879,100
1589826342.803226471,1589826342.909330606,0
1589826347.910059452,1589826348.015121698,100
1589826353.015558243,1589826353.121557951,0
1589826358.121966124,1589826358.219966888,100
1589826363.220777512,1589826363.322908878,0
1589826368.323762655,1589826368.417762280,100
1589826373.418636322,1589826373.517636538,0
1589826378.518523693,1589826378.633523226,100
1589826383.633523703,1589826383.726522923,0
1589826388.726524353,1589826388.833523273,100
1589826393.833523273,1589826393.934523582,0
1589826398.934523582,1589826399.035522223,100
1589826404.035524130,1589826404.138524532,0
1589826409.139491796,1589826409.238927603,100
1589826414.239243984,1589826414.338207722,0
1589826419.338593245,1589826419.438593864,100
1589826424.438594103,1589826424.543593884,0
1589826429.543973207,1589826429.643867254,100
1589826434.644906759,1589826434.759766102,0
1589826439.760123968,1589826439.862994194,100
1589826444.863858700,1589826444.967859507,0
1589826449.967859507,1589826450.078860283,100
1589826455.079859495,1589826455.182859421,0
1589826460.182859659,1589826460.282859802,100
1589826465.283858776,1589826465.374858141,0
1589826470.374859095,1589826470.469859362,100
1589826475.469859600,1589826475.569859743,0
1589826480.570859194,1589826480.669857979,100
1589826485.670769453,1589826485.767932415,0
1589826490.768471479,1589826490.857384205,100
1589826495.857584476,1589826495.948081970,0
1589826500.948314190,1589826501.049767017,100
1589826506.050128460,1589826506.156127453,0
1589826511.156783104,1589826511.253840446,100
1589826516.254335165,1589826516.352305651,0
1589826521.352945089,1589826521.436945200,100
1589826526.437574863,1589826526.533550262,0
1589826531.533730984,1589826531.628367662,100
1589826536.628918409,1589826536.727396250,0
1589826541.728344679,1589826541.827423573,100
1589826546.827962637,1589826546.924901485,0
1589826551.925266981,1589826552.021238804,100
1589826557.021705866,1589826557.123680115,0
1589826562.123706341,1589826562.218706131,100
1589826567.219172001,1589826567.326160431,0
1589826572.327162743,1589826572.418133020,100
1589826577.419132948,1589826577.517132521,0
1589826582.517160892,1589826582.608134031,100
1589826587.608161211,1589826587.705162525,0
1589826592.705377102,1589826592.806377411,100
1589826597.806593180,1589826597.903594017,0
1589826602.904594183,1589826603.005592823,100
1589826608.006462574,1589826608.104910135,0
1589826613.105668306,1589826613.193543196,100
1589826618.193943977,1589826618.297478676,0
1589826623.297926903,1589826623.392929077,100
1589826628.393922091,1589826628.493921995,0
1589826633.493923187,1589826633.599923372,100
1589826638.600922585,1589826638.685922861,0
1589826643.686921358,1589826643.784921885,100
1589826648.785358191,1589826648.872532845,0
1589826653.873446703,1589826653.988485336,100
1589826658.988518953,1589826659.087390661,0
1589826664.087647200,1589826664.184994221,100
1589826669.185288668,1589826669.285836220,0
1589826674.286509275,1589826674.384732723,100
1589826679.385727167,1589826679.500570536,0
1589826684.501096010,1589826684.596096277,100
1589826689.596562624,1589826689.690912008,0
1589826694.691104412,1589826694.787138462,100
1589826699.787665367,1589826699.884838581,0
