Before,After,Value
1589806277.671867847,1589806278.235808611,4
1589806298.236849070,1589806298.341848373,3
1589806318.342520714,1589806318.443836451,4
1589806338.445759058,1589806338.551786661,3
1589806358.552680731,1589806359.399497032,3
1589806379.399595261,1589806379.494594574,3
1589806399.494837046,1589806400.088598490,0
1589806420.088872194,1589806420.521852016,4
1589806440.522044420,1589806440.905992746,0
1589806460.906253815,1589806461.508401394,4
1589806481.509088516,1589806481.902719259,3
1589806501.902991056,1589806502.611312389,2
1589806522.612106085,1589806523.215311527,2
1589806543.215807915,1589806543.604758024,4
1589806563.605489254,1589806564.230811357,0
1589806584.231726646,1589806584.415055990,4
1589806604.415290117,1589806604.932966709,1
1589806624.933235884,1589806625.187834740,0
1589806645.188746929,1589806645.756623507,4
1589806665.757633686,1589806666.627562046,1
1589806686.628192663,1589806687.273069859,0
1589806707.273591995,1589806707.456590414,0
1589806727.457313061,1589806727.560311556,0
1589806747.560735464,1589806747.985541582,2
1589806767.985722542,1589806768.536172628,3
1589806788.536649942,1589806788.642650604,1
1589806808.643151760,1589806808.982811689,4
1589806828.983201265,1589806829.190414906,2
1589806849.191234112,1589806849.597733021,3
1589806869.598685741,1589806870.023715258,3
1589806890.024123192,1589806890.725891113,1
1589806910.726780415,1589806911.026750326,0
1589806931.027743816,1589806931.845705271,0
1589806951.846071005,1589806952.714322805,1
1589806972.714829922,1589806973.407742739,2
1589806993.408280373,1589806993.917991400,4
1589807013.918375731,1589807014.523404121,2
1589807034.524145365,1589807034.944121599,4
1589807054.944672585,1589807055.383701563,0
1589807075.384514093,1589807076.146671295,4
1589807096.147242785,1589807096.790278673,4
1589807116.790568113,1589807116.895230770,4
1589807136.895681620,1589807136.992907524,3
1589807156.993316412,1589807157.093092680,4
1589807177.093981266,1589807177.195071459,4
1589807197.195179462,1589807197.300948143,2
1589807217.301685095,1589807217.402741432,4
1589807237.403463364,1589807237.498624563,0
1589807257.499366999,1589807257.614734888,1
1589807277.615130186,1589807277.715517759,4
1589807297.716754436,1589807297.812651873,1
1589807317.813494682,1589807317.906818151,1
1589807337.906995296,1589807338.007283688,0
1589807358.007919312,1589807358.114058733,1
1589807378.114294052,1589807378.205294609,4
1589807398.206165552,1589807398.305799961,0
1589807418.306640387,1589807418.409124136,4
1589807438.409137011,1589807438.509163618,4
1589807458.509654760,1589807458.608540773,2
1589807478.608939171,1589807478.708700418,4
1589807498.709232569,1589807498.838733673,2
1589807518.840304136,1589807518.940517664,1
1589807538.941417217,1589807539.040567636,1
1589807559.040958881,1589807559.145271063,4
1589807579.145823002,1589807579.255920410,1
1589807599.256754160,1589807599.365016937,3
1589807619.366008043,1589807619.468619347,2
1589807639.469154835,1589807639.559381962,4
1589807659.559696913,1589807659.659446716,2
1589807679.660257339,1589807679.757377386,2
1589807699.758052111,1589807699.853513718,2
1589807719.853647709,1589807719.959133148,0
1589807739.959239244,1589807740.065036058,4
1589807760.065593481,1589807760.177260876,3
1589807780.177657366,1589807780.271014690,4
1589807800.271090984,1589807800.388298988,4
1589807820.388375282,1589807820.480959654,4
1589807840.481111050,1589807840.585975409,2
1589807860.586485863,1589807860.685642481,1
1589807880.685661793,1589807880.789093971,1
1589807900.789380074,1589807900.886533976,4
1589807920.887198687,1589807920.979204416,0
1589807940.979318380,1589807941.094895124,2
1589807961.095659494,1589807961.193078756,4
1589807981.193613768,1589807981.292650700,2
1589808001.293525219,1589808001.382663250,4
1589808021.383965492,1589808021.479694605,2
1589808041.479713440,1589808041.590684891,2
1589808061.591471672,1589808061.713498831,0
1589808081.714372873,1589808081.806980133,1
1589808101.807026625,1589808101.902984619,0
1589808121.903133154,1589808121.998532295,1
1589808141.998564005,1589808142.095205784,1
1589808162.095488071,1589808162.217960119,4
1589808182.218261480,1589808182.317172050,0
1589808202.317716599,1589808202.418015957,0
1589808222.418805599,1589808222.520842075,3
1589808242.521795750,1589808242.616954088,4
1589808262.617877007,1589808262.718777657,2
1589808282.719275713,1589808282.817839146,1
1589808302.817860126,1589808302.910184860,4
1589808322.910468817,1589808323.005494356,3
1589808343.006108046,1589808343.110831499,3
1589808363.111024380,1589808363.206405401,1
1589808383.206483364,1589808383.312427759,2
1589808403.312891483,1589808403.417021990,4
1589808423.417646408,1589808423.521973610,3
1589808443.522665262,1589808443.610875368,2
1589808463.611673832,1589808463.712546587,3
1589808483.713174105,1589808483.815394640,3
1589808503.815673828,1589808503.924638987,3
1589808523.924779177,1589808524.027178526,2
1589808544.027631283,1589808544.134276390,1
1589808564.135027170,1589808564.241055965,0
1589808584.241260052,1589808584.336908817,3
1589808604.337404251,1589808604.440807343,1
1589808624.441728592,1589808624.539864302,4
1589808644.540776491,1589808644.639724731,2
1589808664.640000105,1589808664.739670753,2
1589808684.740252733,1589808684.853691816,3
1589808704.854017735,1589808704.958719015,3
1589808724.958981991,1589808725.067796469,3
1589808745.068440437,1589808745.181255341,2
1589808765.181389332,1589808765.304235697,4
1589808785.304747581,1589808785.409372330,1
1589808805.410383701,1589808805.508923531,3
1589808825.509468555,1589808825.611185551,3
1589808845.611614227,1589808845.716617584,1
1589808865.717615128,1589808865.818294525,4
1589808885.818816185,1589808885.920931578,3
1589808905.921557903,1589808906.013873339,1
1589808926.014280796,1589808926.108271599,3
1589808946.108962774,1589808946.216737032,3
1589808966.216834307,1589808966.306855440,0
1589808986.306888103,1589808986.405893803,4
1589809006.406376600,1589809006.503410578,4
1589809026.503490925,1589809026.601277590,3
1589809046.601347923,1589809046.704627752,0
1589809066.705448866,1589809066.805449724,3
1589809086.805610418,1589809086.889492989,3
1589809106.890258074,1589809106.990825415,0
1589809126.991352558,1589809127.091710806,2
1589809147.091891766,1589809147.193170071,0
1589809167.193432331,1589809167.293116331,1
1589809187.294088602,1589809187.389914036,4
1589809207.390688658,1589809207.474781990,0
1589809227.475610256,1589809227.569061995,4
1589809247.569401026,1589809247.665653706,2
1589809267.665889263,1589809267.766853333,4
1589809287.766871214,1589809287.862140179,3
1589809307.862721682,1589809307.960117579,1
1589809327.960522175,1589809328.063762188,2
1589809348.064054012,1589809348.169997215,0
1589809368.170353651,1589809368.286516428,2
1589809388.286807775,1589809388.379745245,0
1589809408.380324125,1589809408.496718407,0
1589809428.497344494,1589809428.583535671,2
1589809448.583829403,1589809448.681155682,2
1589809468.681380749,1589809468.781259537,4
1589809488.782159090,1589809488.882688999,4
1589809508.883435965,1589809508.989318371,3
1589809528.990087509,1589809529.098331690,4
1589809549.098909616,1589809549.183076143,4
1589809569.183108091,1589809569.282027006,0
1589809589.282113075,1589809589.382722378,1
1589809609.383255720,1589809609.482429028,1
1589809629.483171701,1589809629.610524893,0
1589809649.610878706,1589809649.720944643,4
1589809669.721812248,1589809669.864847660,3
1589809689.865037918,1589809689.956034899,4
1589809709.956090927,1589809710.059964418,3
1589809730.060626745,1589809730.151355743,3
1589809750.152338266,1589809750.257045269,3
1589809770.257422924,1589809770.354516029,2
1589809790.355273962,1589809790.455770254,4
1589809810.456520081,1589809810.587363243,0
1589809830.588378429,1589809830.690312147,3
1589809850.690489769,1589809850.792147875,2
1589809870.792230606,1589809870.902014256,4
1589809890.902212620,1589809891.009230137,4
1589809911.009541035,1589809911.114576340,3
1589809931.115314484,1589809931.208196640,1
1589809951.208331108,1589809951.316340208,3
1589809971.316396475,1589809971.414495707,2
1589809991.415125847,1589809991.514371634,0
1589810011.514881134,1589810011.615923405,3
1589810031.616021156,1589810031.716708183,1
1589810051.717432261,1589810051.833053589,4
1589810071.833532333,1589810071.933204889,1
1589810091.933466434,1589810092.027641058,3
1589810112.028193712,1589810112.121355295,1
