CommandTime,DeviceTime,ValueChanged,Value,LightChanged
1589824709.9231353,1589817511.0194201,1589824710.3258624,100.0,1589824710.4618862
1589824715.801397,1589817516.8823833,1589824716.0715609,0.0,1589824716.6753602
1589824721.4063165,1589817522.570757,1589824721.95172,100.0,1589824722.0955033
1589824727.129963,1589817528.2284493,1589824727.585293,0.0,1589824727.6481423
1589824732.8364186,1589817534.177461,1589824733.5519252,100.0,1589824733.7850955
1589824738.180293,1589817539.227795,1589824738.469283,0.0,1589824739.0364716
1589824743.6806257,1589817544.9171567,1589824744.1402311,100.0,1589824744.657475
1589824749.372592,1589817550.658442,1589824750.0796127,0.0,1589824750.192861
1589824754.9387171,1589817556.049174,1589824755.4032228,100.0,1589824755.9702098
1589824760.180583,1589817561.292869,1589824760.594213,0.0,1589824760.7570305
1589824765.9853435,1589817567.268017,1589824766.6967494,100.0,1589824767.0538516
1589824771.412259,1589817572.637758,1589824771.9281502,0.0,1589824772.5673149
1589824776.9337075,1589817578.033481,1589824777.4531546,100.0,1589824777.5645568
1589824782.5305068,1589817583.6324487,1589824782.9279468,0.0,1589824783.1872735
1589824787.8654206,1589817588.961785,1589824788.2427123,100.0,1589824788.693305
1589824793.27425,1589817594.375996,1589824793.6461875,0.0,1589824794.0505488
1589824798.9627535,1589817600.1256359,1589824799.4217536,100.0,1589824799.8230174
1589824804.3015447,1589817605.4117959,1589824804.69938,0.0,1589824805.0098567
1589824809.9816523,1589817611.138601,1589824810.3784235,100.0,1589824810.774151
1589824815.3876736,1589817616.6329927,1589824815.8570335,0.0,1589824816.3114343
1589824820.8206809,1589817622.225412,1589824821.522006,100.0,1589824821.9227257
1589824826.0536327,1589817627.1114287,1589824826.412779,0.0,1589824827.0487185
1589824831.7047386,1589817632.8143559,1589824832.1056476,100.0,1589824832.4213123
1589824836.9296863,1589817638.157366,1589824837.4553244,0.0,1589824838.1583207
1589824842.5021858,1589817643.670377,1589824843.0840302,100.0,1589824843.1484387
1589824847.7655215,1589817648.7765996,1589824847.9960973,0.0,1589824848.0860076
1589824853.3162794,1589817654.501806,1589824853.733653,100.0,1589824854.323066
1589824858.7775526,1589817660.2288547,1589824859.5452735,0.0,1589824860.0600035
1589824864.369101,1589817665.5947917,1589824864.957823,100.0,1589824865.5905452
1589824870.0518203,1589817671.152712,1589824870.5103629,0.0,1589824870.699599
1589824875.80913,1589817677.03049,1589824876.2624943,100.0,1589824876.7770543
1589824881.2588232,1589817682.2968428,1589824881.572994,0.0,1589824881.6887052
1589824886.769182,1589817688.643234,1589824888.0771968,100.0,1589824888.5867302
1589824892.483924,1589817693.592006,1589824893.0150778,0.0,1589824893.389125
1589824898.0382884,1589817699.210886,1589824898.5635579,100.0,1589824899.150686
1589824903.4947996,1589817704.833606,1589824904.1654747,0.0,1589824904.8319068
1589824909.1427171,1589817710.4894598,1589824909.697922,100.0,1589824910.304279
1589824914.4921324,1589817715.6474547,1589824915.06472,0.0,1589824915.3839507
1589824919.973541,1589817721.188918,1589824920.4160025,100.0,1589824920.7297492
1589824925.0791683,1589817726.090757,1589824925.2589872,0.0,1589824925.8071706
1589824930.1818914,1589817731.1937902,1589824930.3261375,100.0,1589824930.8901184
1589824935.2870362,1589817736.3067482,1589824935.4420354,0.0,1589824936.0026739
1589824940.38227,1589817741.4094188,1589824940.5575624,100.0,1589824941.0447628
1589824945.4710495,1589817746.490617,1589824945.674294,0.0,1589824946.122508
1589824950.569865,1589817751.5878668,1589824950.8018644,100.0,1589824951.2107518
1589824955.6696813,1589817756.680928,1589824955.856915,0.0,1589824956.2615356
1589824960.7731144,1589817761.780984,1589824960.9461148,100.0,1589824961.3901138
1589824965.8705347,1589817766.881475,1589824966.059675,0.0,1589824966.4767869
1589824970.969942,1589817771.985382,1589824971.1512218,100.0,1589824971.540634
1589824976.084297,1589817777.0989027,1589824976.3060822,0.0,1589824976.5896814
1589824981.1854246,1589817782.197316,1589824981.3603342,100.0,1589824981.6943898
1589824986.2897475,1589817787.312722,1589824986.4818094,0.0,1589824986.7126956
1589824991.3730419,1589817792.3804927,1589824991.563017,100.0,1589824991.964567
1589824996.472036,1589817797.4988658,1589824996.6889255,0.0,1589824996.9019458
1589825001.5644846,1589817802.579004,1589825001.7192156,100.0,1589825002.0206394
1589825006.6627762,1589817807.677899,1589825006.877752,0.0,1589825007.137397
1589825011.7601945,1589817812.774394,1589825011.9216166,100.0,1589825012.2205315
1589825016.8567374,1589817817.86576,1589825017.007735,0.0,1589825017.2125432
1589825021.953447,1589817822.968181,1589825022.1358387,100.0,1589825022.2958689
1589825027.052951,1589817828.0678701,1589825027.2684865,0.0,1589825027.3972554
1589825032.1509626,1589817833.16741,1589825032.3089511,100.0,1589825032.5000992
1589825037.2495499,1589817838.2617218,1589825037.447061,0.0,1589825037.5771837
1589825042.3473136,1589817843.3706522,1589825042.518774,100.0,1589825042.700969
1589825047.447091,1589817848.457313,1589825047.625458,0.0,1589825047.7475452
1589825052.5449347,1589817853.5668588,1589825052.7375748,100.0,1589825053.3245325
1589825057.6416388,1589817858.6508942,1589825057.8671904,0.0,1589825058.408459
1589825062.7351532,1589817863.751343,1589825062.9714077,100.0,1589825063.4751456
1589825067.8299527,1589817868.8423982,1589825068.0170372,0.0,1589825068.5871274
1589825072.9280102,1589817873.944648,1589825073.1397095,100.0,1589825073.6746817
1589825078.0275853,1589817879.034764,1589825078.2104275,0.0,1589825078.7316658
1589825083.129445,1589817884.1420197,1589825083.329447,100.0,1589825083.8308547
1589825088.2280662,1589817889.2398376,1589825088.4500854,0.0,1589825088.8744855
1589825093.335898,1589817894.348152,1589825093.479897,100.0,1589825094.0226586
1589825098.4374082,1589817899.453629,1589825098.6537094,0.0,1589825099.0699322
1589825103.5379665,1589817904.558261,1589825103.7771955,100.0,1589825104.1927347
1589825108.641189,1589817909.660567,1589825108.8371847,0.0,1589825109.221183
1589825113.751448,1589817914.7724018,1589825113.956651,100.0,1589825114.3292186
1589825118.8565855,1589817919.8786407,1589825119.001987,0.0,1589825119.3474338
1589825123.9597523,1589817924.9797637,1589825124.1267226,100.0,1589825124.46096
1589825129.067216,1589817930.082926,1589825129.2545383,0.0,1589825129.5480556
1589825134.1709964,1589817935.185602,1589825134.3171687,100.0,1589825134.6288676
1589825139.274237,1589817940.291744,1589825139.4950778,0.0,1589825139.749626
1589825144.3740442,1589817945.4045587,1589825144.5735245,100.0,1589825144.7367837
1589825149.4731686,1589817950.50339,1589825149.6653793,0.0,1589825149.8661454
1589825154.5688055,1589817955.580414,1589825154.7725203,100.0,1589825154.9324467
1589825159.6725132,1589817960.69449,1589825159.850626,0.0,1589825160.026192
1589825164.76924,1589817965.7846067,1589825164.95245,100.0,1589825165.113415
1589825169.8672962,1589817970.882371,1589825170.0960915,0.0,1589825170.2231078
1589825174.96885,1589817975.987838,1589825175.2010863,100.0,1589825175.2827165
1589825180.064645,1589817981.0795567,1589825180.2476716,0.0,1589825180.42687
1589825185.1645856,1589817986.190997,1589825185.3595808,100.0,1589825185.483171
1589825190.2637742,1589817991.276097,1589825190.4860618,0.0,1589825190.50307
