CommandTime,DeviceTime,ValueChanged,Value,LightChanged
1589824709.9231353,1589817511.0194201,1589817511.0194201,100.0,1589817511.1443427
1589824715.801397,1589817516.8823833,1589817516.8823833,0.0,1589817517.30692
1589824721.4063165,1589817522.570757,1589817522.570757,100.0,1589817522.8412
1589824727.129963,1589817528.2284493,1589817528.2284493,0.0,1589817528.4288578
1589824732.8364186,1589817534.177461,1589817534.177461,100.0,1589817534.533729
1589824738.180293,1589817539.227795,1589817539.227795,0.0,1589817539.615739
1589824743.6806257,1589817544.9171567,1589817544.9171567,100.0,1589817545.2839587
1589824749.372592,1589817550.658442,1589817550.658442,0.0,1589817550.800371
1589824754.9387171,1589817556.049174,1589817556.049174,100.0,1589817556.528639
1589824760.180583,1589817561.292869,1589817561.292869,0.0,1589817561.469024
1589824765.9853435,1589817567.268017,1589817567.268017,100.0,1589817567.571103
1589824771.412259,1589817572.637758,1589817572.637758,0.0,1589817573.1959548
1589824776.9337075,1589817578.033481,1589817578.033481,100.0,1589817578.240822
1589824782.5305068,1589817583.6324487,1589817583.6324487,0.0,1589817583.875723
1589824787.8654206,1589817588.961785,1589817588.961785,100.0,1589817589.42607
1589824793.27425,1589817594.375996,1589817594.375996,0.0,1589817594.510061
1589824798.9627535,1589817600.1256359,1589817600.1256359,100.0,1589817600.6127548
1589824804.3015447,1589817605.4117959,1589817605.4117959,0.0,1589817605.699006
1589824809.9816523,1589817611.138601,1589817611.138601,100.0,1589817611.3996508
1589824815.3876736,1589817616.6329927,1589817616.6329927,0.0,1589817616.995376
1589824820.8206809,1589817622.225412,1589817622.225412,100.0,1589817622.470463
1589824826.0536327,1589817627.1114287,1589817627.1114287,0.0,1589817627.7451026
1589824831.7047386,1589817632.8143559,1589817632.8143559,100.0,1589817633.1405187
1589824836.9296863,1589817638.157366,1589817638.157366,0.0,1589817638.776865
1589824842.5021858,1589817643.670377,1589817643.670377,100.0,1589817643.8020678
1589824847.7655215,1589817648.7765996,1589817648.7765996,0.0,1589817648.8844428
1589824853.3162794,1589817654.501806,1589817654.501806,100.0,1589817654.98494
1589824858.7775526,1589817660.2288547,1589817660.2288547,0.0,1589817660.7410018
1589824864.369101,1589817665.5947917,1589817665.5947917,100.0,1589817666.1687708
1589824870.0518203,1589817671.152712,1589817671.152712,0.0,1589817671.245593
1589824875.80913,1589817677.03049,1589817677.03049,100.0,1589817677.40172
1589824881.2588232,1589817682.2968428,1589817682.2968428,0.0,1589817682.42221
1589824886.769182,1589817688.643234,1589817688.643234,100.0,1589817689.1468947
1589824892.483924,1589817693.592006,1589817693.592006,0.0,1589817694.111945
1589824898.0382884,1589817699.210886,1589817699.210886,100.0,1589817699.831944
1589824903.4947996,1589817704.833606,1589817704.833606,0.0,1589817705.4695628
1589824909.1427171,1589817710.4894598,1589817710.4894598,100.0,1589817710.8840659
1589824914.4921324,1589817715.6474547,1589817715.6474547,0.0,1589817716.0149379
1589824919.973541,1589817721.188918,1589817721.188918,100.0,1589817721.5520647
1589824925.0791683,1589817726.090757,1589817726.090757,0.0,1589817726.6320348
1589824930.1818914,1589817731.1937902,1589817731.1937902,100.0,1589817731.710729
1589824935.2870362,1589817736.3067482,1589817736.3067482,0.0,1589817736.798413
1589824940.38227,1589817741.4094188,1589817741.4094188,100.0,1589817741.8754137
1589824945.4710495,1589817746.490617,1589817746.490617,0.0,1589817746.954835
1589824950.569865,1589817751.5878668,1589817751.5878668,100.0,1589817752.039433
1589824955.6696813,1589817756.680928,1589817756.680928,0.0,1589817757.116788
1589824960.7731144,1589817761.780984,1589817761.780984,100.0,1589817762.195615
1589824965.8705347,1589817766.881475,1589817766.881475,0.0,1589817767.2792
