CommandTime,DeviceTime,LogTime,Value
1589794479.3374608,1589787280.113603,1589794480.2077107,1.0
1589794520.037029,1589787319.850213,1589794520.0380003,2.0
1589794540.446783,1589787341.529886,1589794541.6992154,0.0
1589794581.6202252,1589787381.209036,1589794581.6252506,2.0
1589794684.2478287,1589787483.945007,1589794684.2498286,2.0
1589794704.3462942,1589787505.2464314,1589794705.2388332,0.0
1589794724.449927,1589787525.069872,1589794725.066457,2.0
1589794764.6454415,1589787565.227707,1589794765.2625265,0.0
1589794824.9479887,1589787806.237327,1589795006.3003488,1.0
1589794845.0453537,1589787645.015789,1589794845.0861862,2.0
1589794905.3497763,1589787705.3949587,1589794905.3849626,2.0
1589794945.54931,1589787806.237327,1589795006.3003488,1.0
1589794985.7500064,1589787786.408332,1589794986.4012027,0.0
1589795025.945417,1589787826.5718627,1589795026.5726624,0.0
1589795046.0458457,1589787906.902187,1589795106.8874369,1.0
1589795066.1446981,1589787866.073497,1589795066.1446981,0.0
1589795106.3507335,1589787906.902187,1589795106.8874369,1.0
1589795166.6582592,1589787966.6891398,1589795166.6939495,0.0
1589795186.7614908,1589787987.746362,1589795187.7487032,2.0
1589795247.064885,1589788047.6941087,1589795247.7069786,0.0
1589795267.166309,1589788127.966989,1589795327.9767487,1.0
1589795287.2694123,1589788087.318583,1589795287.4090958,2.0
1589795307.3644915,1589788108.1566918,1589795308.141653,0.0
1589795367.688578,1589788168.616657,1589795368.6602817,0.0
1589795407.885149,1589788208.753834,1589795408.7723203,0.0
1589795508.3845663,1589788308.423454,1589795508.4400795,2.0
1589795528.4927123,1589788670.697206,1589795870.6909168,1.0
1589795608.885219,1589788409.5339367,1589795609.5121357,0.0
1589795628.9926963,1589788429.871582,1589795629.8918126,2.0
1589795649.0915756,1589788449.690722,1589795649.7158954,0.0
1589795669.193755,1589788470.007565,1589795670.043678,2.0
1589795769.696874,1589788569.6550918,1589795769.7161324,2.0
1589795809.8913713,1589788670.697206,1589795870.6909168,1.0
1589795870.213057,1589788670.697206,1589795870.6909168,1.0
1589795890.3209536,1589788690.515421,1589795890.5351527,0.0
1589795910.4212682,1589788710.828782,1589795910.8810725,1.0
1589796010.932486,1589788810.9366279,1589796010.9394825,2.0
1589796051.1349523,1589788852.0503807,1589796052.0332336,0.0
1589796111.436423,1589788912.511107,1589796112.5146,2.0
1589796151.6412292,1589788952.151368,1589796152.1536608,1.0
1589796171.7420964,1589788971.972066,1589796171.992713,0.0
1589796191.8440218,1589788992.8000329,1589796192.8608859,2.0
1589796211.9479325,1589789012.620627,1589796212.5761774,0.0
1589796312.4645486,1589789113.265484,1589796313.2294044,0.0
1589796392.8588295,1589789192.835016,1589796392.8748963,2.0
1589796433.1133585,1589789234.240866,1589796434.2182145,0.0
1589796473.3202932,1589789274.390627,1589796474.3488584,0.0
1589796533.6048572,1589789334.3268428,1589796534.3502126,0.0
1589796553.7098606,1589789354.146826,1589796554.1426258,1.0
1589796593.9246063,1589789394.7961667,1589796594.7768016,0.0
1589796654.2294166,1589789455.2629187,1589796655.2283494,2.0
1589796734.6251185,1589789836.7671502,1589797036.7320988,1.0
1589796774.824897,1589789836.7671502,1589797036.7320988,1.0
1589796794.932324,1589789595.474847,1589796795.4266412,2.0
1589796855.2374845,1589789655.2933528,1589796855.2595892,2.0
1589796875.3449948,1589789676.243308,1589796876.2122602,0.0
1589796955.7518888,1589789836.7671502,1589797036.7320988,1.0
1589796975.85487,1589789776.3275619,1589796976.3141134,2.0
1589797016.0612943,1589789816.9633133,1589797016.944654,0.0
1589797036.165129,1589789836.7671502,1589797036.7320988,1.0
1589797096.4723222,1589789897.210381,1589797097.1244638,0.0
1589797136.662605,1589789977.463563,1589797177.4727259,1.0
1589797156.757278,1589789957.142504,1589797157.0697746,0.0
1589797176.8648643,1589789977.463563,1589797177.4727259,1.0
1589797196.9687598,1589789997.063701,1589797196.9991698,0.0
1589797217.0736096,1589790018.0980487,1589797218.0949166,2.0
1589797237.173047,1589790037.8993797,1589797237.8158402,0.0
1589797277.3746636,1589790077.453477,1589797277.4336636,2.0
1589797357.761186,1589790157.865144,1589797357.8001866,2.0
1589797377.8567202,1589790178.619334,1589797378.6066434,0.0
1589797478.3729887,1589790278.4201639,1589797478.4070272,2.0
1589797578.932543,1589790381.8660762,1589797581.7892394,1.0
1589797599.031019,1589790399.1001158,1589797599.05697,0.0
1589797719.6458352,1589790519.672013,1589797719.661074,2.0
1589797759.8501782,1589790560.697879,1589797760.6541452,0.0
1589797800.0793972,1589790721.268352,1589797921.1769254,1.0
1589797900.5796385,1589790721.268352,1589797921.1769254,1.0
1589797920.675014,1589790720.764439,1589797920.7108307,0.0
1589797940.7793179,1589790741.589622,1589797941.547353,2.0
1589797980.980306,1589790781.0328348,1589797981.0306535,2.0
1589798081.499702,1589790881.562942,1589798081.499702,2.0
1589798141.8250067,1589790942.700235,1589798142.6778355,0.0
